Node Name,Op Type,Activation,Weights,Bias
/model.0/conv/Conv,Conv,UINT8,INT8,INT8
/model.1/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.2/m/m.0/Add,Add,UINT8,,
/model.2/Concat,Concat,UINT8,,
/model.2/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.3/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.0/Add,Add,UINT8,,
/model.4/m/m.1/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.1/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.4/m/m.1/Add,Add,UINT8,,
/model.4/Concat,Concat,UINT8,,
/model.4/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.5/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.0/Add,Add,UINT8,,
/model.6/m/m.1/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.1/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.1/Add,Add,UINT8,,
/model.6/m/m.2/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.2/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.6/m/m.2/Add,Add,UINT8,,
/model.6/Concat,Concat,UINT8,,
/model.6/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.7/conv/Conv,Conv,UINT8,INT8,INT8
/model.8/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.8/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.8/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.8/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.8/m/m.0/Add,Add,UINT8,,
/model.8/Concat,Concat,UINT8,,
/model.8/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.9/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.9/m/MaxPool,MaxPool,UINT8,,
/model.9/m_1/MaxPool,MaxPool,UINT8,,
/model.9/m_2/MaxPool,MaxPool,UINT8,,
/model.9/Concat,Concat,UINT8,,
/model.9/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.10/conv/Conv,Conv,UINT8,INT8,INT8
/model.11/Resize,Resize,UINT8,,
/model.12/Concat,Concat,UINT8,,
/model.13/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.13/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.13/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.13/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.13/Concat,Concat,UINT8,,
/model.13/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.14/conv/Conv,Conv,UINT8,INT8,INT8
/model.15/Resize,Resize,UINT8,,
/model.16/Concat,Concat,UINT8,,
/model.17/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.17/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.17/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.17/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.17/Concat,Concat,UINT8,,
/model.17/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.18/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/m.0/Conv,Conv,UINT8,INT8,INT8
/model.24/Shape,Shape,UINT8,,
/model.19/Concat,Concat,UINT8,,
/model.20/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/Reshape,Reshape,UINT8,,
/model.24/Transpose,Transpose,UINT8,,
/model.20/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/Concat,Concat,UINT8,,
/model.20/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.21/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/m.1/Conv,Conv,UINT8,INT8,INT8
/model.24/Shape_3,Shape,UINT8,,
/model.22/Concat,Concat,UINT8,,
/model.23/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.23/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/Reshape_1,Reshape,UINT8,,
/model.24/Transpose_1,Transpose,UINT8,,
/model.23/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.23/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.23/Concat,Concat,UINT8,,
/model.23/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/m.2/Conv,Conv,UINT8,INT8,INT8
/model.24/Shape_6,Shape,UINT8,,
/model.24/Reshape_2,Reshape,UINT8,,
/model.24/Transpose_2,Transpose,UINT8,,

Op Type,Activation,Weights,Bias
Conv,UINT8(60),INT8(60),INT8(60)
Add,UINT8(7),,
Concat,UINT8(13),,
MaxPool,UINT8(3),,
Resize,UINT8(2),,
Shape,UINT8(3),,
Reshape,UINT8(3),,
Transpose,UINT8(3),,
